Squad,# Pl,Age,Poss,MP,Starts,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Arsenal,25,26.6,57.1,34,374,1.79,1.47,3.26,1.74,3.21,1.56,1.19,2.75,1.51,2.7
Aston Villa,28,27.8,51.0,34,374,1.53,1.21,2.74,1.44,2.65,1.54,1.14,2.68,1.4,2.54
Bournemouth,29,25.9,48.0,33,363,1.55,1.12,2.67,1.36,2.48,1.79,1.22,3.01,1.62,2.84
Brentford,28,26.6,47.7,33,363,1.7,1.12,2.82,1.55,2.67,1.5,1.09,2.6,1.39,2.48
Brighton,31,25.6,52.5,33,363,1.55,1.0,2.55,1.39,2.39,1.54,1.07,2.61,1.42,2.49
Chelsea,29,24.4,58.4,33,363,1.7,1.3,3.0,1.61,2.91,1.86,1.44,3.3,1.76,3.2
Crystal Palace,29,26.9,43.0,34,374,1.21,0.94,2.15,1.15,2.09,1.51,1.15,2.66,1.44,2.59
Everton,26,28.8,40.3,33,363,0.94,0.61,1.55,0.88,1.48,1.09,0.83,1.91,1.04,1.86
Fulham,26,28.7,51.9,33,363,1.42,1.21,2.64,1.33,2.55,1.3,1.0,2.3,1.2,2.2
Ipswich Town,32,26.5,40.5,33,363,0.97,0.73,1.7,0.91,1.64,0.92,0.64,1.56,0.87,1.51
Leicester City,30,27.3,45.5,33,363,0.82,0.64,1.45,0.76,1.39,0.85,0.67,1.52,0.8,1.48
Liverpool,24,27.9,57.7,33,363,2.27,1.7,3.97,2.0,3.7,2.19,1.6,3.78,1.98,3.57
Manchester City,29,27.5,61.4,34,374,1.91,1.38,3.29,1.85,3.24,1.8,1.45,3.24,1.73,3.17
Manchester Utd,31,26.3,53.0,33,363,1.09,0.73,1.82,1.0,1.73,1.32,0.98,2.3,1.24,2.23
Newcastle Utd,24,28.1,50.3,33,363,1.82,1.39,3.21,1.73,3.12,1.68,1.22,2.9,1.58,2.81
Nott'ham Forest,23,26.9,39.8,33,363,1.58,1.15,2.73,1.48,2.64,1.2,0.88,2.08,1.13,2.01
Southampton,35,26.0,49.8,33,363,0.7,0.42,1.12,0.7,1.12,0.9,0.68,1.58,0.84,1.53
Tottenham,31,25.9,56.9,33,363,1.76,1.36,3.12,1.7,3.06,1.65,1.25,2.9,1.57,2.82
West Ham,27,28.8,47.7,33,363,1.03,0.64,1.67,0.94,1.58,1.24,0.89,2.13,1.17,2.06
Wolves,30,27.6,47.3,33,363,1.42,1.09,2.52,1.42,2.52,1.15,0.92,2.07,1.15,2.07
